year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,2,55,49,0.7,1.6,0,1,0,0,0,0,0
2010,1,2,81.9,72.5,2.5,2.5,0,0,0,0,0,0,0
2010,1,2,52.3,50.7,0.1,0.7,0,1,0,0,0,0,0
2010,1,2,75.7,59.2,3.9,0.4,0,0,0,0,0,0,0
2010,1,2,72.6,60.2,3.9,2.4,0,0,0,0,0,0,0
2010,1,2,78.4,72,3.7,2.2,0,0,0,0,0,0,0
2010,1,2,73.1,50.6,3.1,2.9,0,0,0,0,0,0,0
2010,1,2,69.3,55.6,2.8,4.7,0,0,0,0,0,0,0
2010,1,2,75,66.3,1.9,2.5,0,0,0,0,0,0,0
2010,1,2,65.2,41.7,2.5,0.5,0,0,0,0,0,0,0
2010,1,2,59.3,45.7,0.8,1.4,0,0,0,0,0,0,0
2010,1,2,65.9,41.1,1.2,1,99.99,0,1,0,0,0,0
2010,1,2,64.6,47,1.7,3.3,0,0,1,0,0,0,0
2010,1,2,69.2,53.6,2.5,1.7,0,0,1,0,0,0,0
2010,1,2,61.2,53.1,1.6,1,0,0,0,0,0,0,0
2010,1,2,74.9,58,4.3,1.2,0,0,0,0,0,0,0
2010,1,2,82.4,74.9,4.3,1.3,0,0,0,0,0,0,0
2010,1,2,66.5,49.4,0.9,2.5,0,0,0,0,0,0,0
2010,1,2,76.1,62.8,3.9,7.6,0,0,0,0,0,0,0
2010,1,2,82.9,77.4,4.3,1.1,0,0,0,0,0,0,0
2010,1,2,66.8,43.9,2.3,5.9,0,0,0,0,0,0,0
2010,1,2,81.1,70.2,3.9,1.5,0,0,0,0,0,0,0
2010,1,2,76.4,57.7,3.9,1.9,0,0,0,0,0,0,0
2010,1,2,81.5,71.8,2.5,4.2,0,0,0,0,0,0,0
2010,1,2,66.8,50.2,3.4,1.1,0,0,0,0,0,0,0
2010,1,2,76,63.5,2.5,5.9,0,0,0,0,0,0,0
2010,1,2,54.6,48.8,0.7,2.7,0,1,0,0,0,0,0
2010,1,2,53.6,50.2,0.5,2.8,0,1,0,0,0,0,0
2010,1,2,60.5,42.2,2.3,6,0,0,0,0,0,0,0
2010,1,2,62.5,53,1.2,4.9,0,0,0,0,0,0,0
2010,1,2,77.9,71,2.5,4.4,0,0,0,0,0,0,0
2010,1,3,75.6,66.2,3.4,0.7,0,0,0,0,0,0,0
2010,1,3,54.4,53.1,0.9,0,99.99,1,1,0,0,0,0
2010,1,3,64.9,56.4,1.9,999.9,0,0,0,0,0,0,0
2010,1,3,62.8,55.8,2.2,0,0,0,0,0,0,0,0
2010,1,3,63.4,53.2,2.1,1.6,0,0,0,0,0,0,0
2010,1,3,72.7,55.2,3.6,0.4,0,0,0,0,0,0,0
2010,1,3,72.7,58.9,2.3,0,0,0,0,0,0,0,0
2010,1,3,52.1,51.4,0.3,1.1,0.04,1,1,0,0,0,0
2010,1,3,63.6,56,1.2,1.8,0.04,0,1,0,0,0,0
2010,1,3,82.4,77.8,3,1.5,0.12,0,0,0,0,0,0
2010,1,3,60.5,45.8,2.5,1,0,0,0,0,0,0,0
2010,1,3,65.8,49.2,0.9,2.2,0,1,0,0,0,0,0
2010,1,3,54.7,49.7,1,1.7,0.12,1,1,0,0,0,0
2010,1,3,74,65.3,2.5,0.5,0.03,0,0,0,0,0,0
2010,1,3,66.3,52.3,2.2,4.8,0,0,0,0,0,0,0
2010,1,3,74.4,56.9,3.9,0.7,0,0,0,0,0,0,0
2010,1,3,56.6,39.6,1.5,2.2,0,0,0,0,0,0,0
2010,1,3,73.6,54.7,3.9,0.8,0,1,0,0,0,0,0
2010,1,3,76.2,69.3,4.3,1.8,0,0,0,0,0,0,0
2010,1,3,73.7,64.3,2.5,2.6,0.12,0,0,0,0,0,0
2010,1,3,53.2,46.2,1.2,0.2,0,1,0,0,0,0,0
2010,1,3,78.5,67.1,3.9,1,0,0,0,0,0,0,0
2010,1,3,70.3,44.8,2.9,2.5,0,0,0,0,0,0,0
2010,1,3,53.3,48.2,0.7,2.1,0,0,0,0,0,0,0
2010,1,3,52.7,52.1,0.5,6.4,99.99,1,1,0,0,0,0
2010,1,3,55.3,51.2,0.4,1.7,0,1,0,0,0,0,0
2010,1,3,69.1,44.7,3.7,0.3,0,0,0,0,0,0,0
2010,1,3,51.6,50.6,0.4,1.6,0,1,0,0,0,0,0
2010,1,3,58.2,48,1.1,0.6,0,0,0,0,0,0,0
2010,1,3,61.5,55.2,2.3,0,0,0,0,0,0,0,0
2010,1,3,69.6,53,2.5,5,0,0,0,0,0,0,0
2010,1,3,64.2,53.2,2.2,3.7,0,0,0,0,0,0,0
2010,1,3,61.3,54.9,1.6,0.4,0,0,0,0,0,0,0
2010,1,3,59.5,42.8,1.1,1.6,0,0,0,0,0,0,0
2010,1,3,80.8,69.4,2,2,0,0,0,0,0,0,0
2010,1,3,74.7,63,3.9,0.5,0,0,0,0,0,0,0
2010,1,3,73.3,57.3,2.5,2.9,0,0,0,0,0,0,0
2010,1,3,43.1,40.8,0.2,0.6,99.99,1,1,0,0,0,0
